sessionId,userId,r1_speedPxPerFrame,r2_speedPxPerFrame,r3_speedPxPerFrame,r1_spawnIntervalMs,r2_spawnIntervalMs,r3_spawnIntervalMs,device_pointerPrimary,device_os,device_browser,screen_width,screen_height,screen_dpr,viewportWidth,viewportHeight,perf_samplingHzTarget,perf_samplingHzEstimated,perf_avgFrameMs,perf_p95FrameMs,perf_droppedFrames,perf_inputLagMsEstimate,highContrastMode,reducedMotionPreference,userInfo_ageBucket,userInfo_gender,r1_nTargets,r1_nHits,r1_nMisses,r1_hitRate,r1_reactionTime_mean,r1_reactionTime_std,r1_reactionTime_median,r1_movementTime_mean,r1_movementTime_std,r1_movementTime_median,r1_interTap_mean,r1_interTap_std,r1_interTap_cv,r1_errorDist_mean,r1_errorDist_std,r1_pathLength_mean,r1_pathLength_std,r1_straightness_mean,r1_straightness_std,r1_meanSpeed_mean,r1_peakSpeed_mean,r1_speedVar_mean,r1_meanAccel_mean,r1_peakAccel_mean,r1_jerkRMS_mean,r1_jerkRMS_std,r1_submovementCount_mean,r1_submovementCount_std,r1_overshootCount_mean,r1_overshootCount_std,r1_ID_mean,r1_throughput_mean,r1_throughput_std,r2_nTargets,r2_nHits,r2_nMisses,r2_hitRate,r2_reactionTime_mean,r2_reactionTime_std,r2_reactionTime_median,r2_movementTime_mean,r2_movementTime_std,r2_movementTime_median,r2_interTap_mean,r2_interTap_std,r2_interTap_cv,r2_errorDist_mean,r2_errorDist_std,r2_pathLength_mean,r2_pathLength_std,r2_straightness_mean,r2_straightness_std,r2_meanSpeed_mean,r2_peakSpeed_mean,r2_speedVar_mean,r2_meanAccel_mean,r2_peakAccel_mean,r2_jerkRMS_mean,r2_jerkRMS_std,r2_submovementCount_mean,r2_submovementCount_std,r2_overshootCount_mean,r2_overshootCount_std,r2_ID_mean,r2_throughput_mean,r2_throughput_std,r3_nTargets,r3_nHits,r3_nMisses,r3_hitRate,r3_reactionTime_mean,r3_reactionTime_std,r3_reactionTime_median,r3_movementTime_mean,r3_movementTime_std,r3_movementTime_median,r3_interTap_mean,r3_interTap_std,r3_interTap_cv,r3_errorDist_mean,r3_errorDist_std,r3_pathLength_mean,r3_pathLength_std,r3_straightness_mean,r3_straightness_std,r3_meanSpeed_mean,r3_peakSpeed_mean,r3_speedVar_mean,r3_meanAccel_mean,r3_peakAccel_mean,r3_jerkRMS_mean,r3_jerkRMS_std,r3_submovementCount_mean,r3_submovementCount_std,r3_overshootCount_mean,r3_overshootCount_std,r3_ID_mean,r3_throughput_mean,r3_throughput_std,delta_r2_minus_r1_hitRate,delta_r3_minus_r1_hitRate,delta_r3_minus_r2_hitRate,delta_r2_minus_r1_reactionTime_mean,delta_r3_minus_r1_reactionTime_mean,delta_r3_minus_r2_reactionTime_mean,delta_r2_minus_r1_movementTime_mean,delta_r3_minus_r1_movementTime_mean,delta_r3_minus_r2_movementTime_mean,delta_r2_minus_r1_jerkRMS_mean,delta_r3_minus_r1_jerkRMS_mean,delta_r3_minus_r2_jerkRMS_mean,delta_r2_minus_r1_throughput_mean,delta_r3_minus_r1_throughput_mean,delta_r3_minus_r2_throughput_mean
session_1767556262849_5btr8rdjxot,u543,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,47.600000,21,17.300000,934,1,false,false,18-24,Female,16,14,2,0.875000,1409.642857,455.647986,1303.500000,916.571429,403.707411,974.500000,1271.466667,724.527880,0.569836,5.142092,0.123463,0.288417,0.145399,1.279145,0.728494,0.398578,1.388100,0.160611,8.423141,34.176794,915.712536,337.122148,2.642857,1.444553,0.142857,0.349927,1.933109,2.659584,1.736016,19,14,5,0.736842,1808.142857,617.552295,2037.500000,1556.714286,619.445078,1809,762.555556,446.112370,0.585023,4.975205,0.121073,0.446258,0.157911,0.637070,0.458297,0.440483,1.979603,0.232006,9.400222,47.621978,1010.176587,350.597791,3.214286,1.655233,0.428571,0.728431,1.716991,1.404993,1.038592,25,3,22,0.120000,937,166.615325,913,622.333333,110.140315,600,756.125000,371.494315,0.491313,5.105630,0.073422,0.281529,0.146717,1.460357,0.378246,0.479408,1.678203,0.208856,11.521023,43.046501,1370.654815,585.901867,4,2.943920,0,0,2.188844,3.578092,0.878881,-0.138158,-0.755000,-0.616842,398.500000,-472.642857,-871.142857,640.142857,-294.238095,-934.380952,94.464050,454.942278,360.478228,-1.254591,0.918508,2.173099
session_1767547388063_l5jge5q13c,dil2453,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1920,1080,1,1920,945,60,101.300000,9.870000,14.800000,939,1.080000,false,false,18-24,Male,16,9,7,0.562500,1857,829.291800,1619,1404.888889,506.924374,1500,1213.400000,622.840354,0.513302,8.047344,0.618295,0.460091,0.186824,1.061783,0.521724,0.482203,2.854210,0.490981,12.086816,95.725063,1350.254410,827.568881,1.888889,1.196703,0.111111,0.314270,2.546707,2.190031,1.207878,20,0,20,0,,,,,,,899.894737,8.521766,0.009470,,,,,,,,,,,,,,,,,,,,,28,2,26,0.071429,2337.500000,872.500000,2337.500000,493,361,493,749.740741,194.339259,0.259209,10.524902,0.390087,0.292502,0.118183,2.167019,1.123495,0.997921,2.475247,0.332062,24.211879,53.051707,1851.634016,639.154197,1,1,0.500000,0.500000,2.779420,12.730367,9.686013,-0.562500,-0.491071,0.071429,,480.500000,,,-911.888889,,,501.379606,,,10.540336,
session_1767534341875_30z4h668qr3,cha9343,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,864,1.250000,1536,695,60,97.900000,10.210000,7.900000,1681,1.130000,false,false,18-24,Female,16,9,7,0.562500,2364.888889,2051.555315,1833,1424.444444,495.233752,1676,1574.866667,1636.204627,1.038948,4.984670,1.565517,0.737024,0.269005,0.654413,0.688855,0.710638,4.131166,0.940557,21.909340,114.313626,1945.484525,738.767933,3.888889,2.766644,0.888889,0.566558,1.872769,1.477033,0.879065,20,1,19,0.050000,1206,,1206,1177,,1177,898.842105,84.207303,0.093684,5.926383,,0.670555,,0.728299,,0.653504,3.674172,0.547948,20.698667,140.231752,1873.392868,,2,,0,,2.390302,2.030842,,28,1,27,0.035714,1093,,1093,338,,338,701.703704,11.504636,0.016395,5.019347,,0.400889,,1.420668,,1.491945,5.828471,3.633715,29.153596,145.758404,2617.428705,,0,,0,,2.572354,7.610515,,-0.512500,-0.526786,-0.014286,-1158.888889,-1271.888889,-113,-247.444444,-1086.444444,-839,-72.091658,671.944180,744.035837,0.553809,6.133482,5.579673
session_1767533171128_07cgrxizigt,san0998,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1680,1050,1.250000,1528,698,60,47.500000,21.050000,17.300000,948,1.320000,false,false,18-24,Male,12,1,11,0.083333,2210,,2210,,,,1305.454545,339.363673,0.259958,,,,,,,,,,,,,,,,,,,,,19,2,17,0.105263,1811.500000,207.500000,1811.500000,1483,,1483,944.611111,321.617637,0.340476,6.110227,,0.308681,,1.864636,,0.465236,1.345630,0.127479,12.984329,42.707916,1703.231295,,3,,1,,2.590222,1.746610,,25,1,24,0.040000,1666,,1666,1416,,1416,670.041667,115.545258,0.172445,6.248659,,0.451460,,0.584047,,0.473698,1.906553,0.277103,13.637721,63.652565,1952.376090,,3,,0,,1.722709,1.216603,,0.021930,-0.043333,-0.065263,-398.500000,-544,-145.500000,,,-67,,,249.144795,,,-0.530007
session_1767531057416_60mq94gjf4u,gov2312,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Edge 143,1536,864,1.250000,1528,732,60,105.300000,9.500000,7.300000,1318,0.940000,false,false,25-34,Male,16,13,3,0.812500,875.384615,264.647091,761,812.461538,285.106624,750,1148.400000,438.511391,0.381846,6.152747,0.164060,0.346422,0.138571,1.185626,0.662076,0.569475,1.911648,0.340124,11.519013,40.180296,699.115942,253.516009,2.153846,1.166596,0.153846,0.360801,2.020082,2.786213,1.233933,22,11,11,0.500000,1327.363636,1124.397315,904,762.818182,222.906347,759,1033.619048,432.689317,0.418616,6.493727,0.538649,0.504581,0.200127,0.993429,0.733989,0.798120,3.370317,0.782542,20.415938,78.987455,1453.891695,438.052475,2.090909,0.995859,0.090909,0.287480,2.153896,3.500239,2.831682,28,2,26,0.071429,909,206,909,468.500000,100.500000,468.500000,715.148148,65.671294,0.091829,6.612676,0.042196,0.237148,0.088293,2.091736,0.236790,0.686876,1.734931,0.431231,13.673481,31.164561,802.584849,136.039630,1.500000,0.500000,0,0,2.383121,5.486881,1.865500,-0.312500,-0.741071,-0.428571,451.979021,33.615385,-418.363636,-49.643357,-343.961538,-294.318182,754.775753,103.468907,-651.306846,0.714026,2.700668,1.986643
session_1767529992662_2vkpv6secen,tat4324,1.500000,2.500000,3.500000,1200,900,700,mouse,macOS 10.15,Chrome 143,1470,956,2,1470,797,60,43.300000,23.110000,17.600000,1392,1.470000,false,false,18-24,Female,16,16,0,1,1000.625000,284.091507,856.500000,781.125000,292.028439,691.500000,1167.666667,267.955635,0.229480,4.199875,0.101718,0.317616,0.129676,0.864912,0.652837,0.473951,1.754096,0.240057,10.588726,50.746021,1262.123285,493.744382,2.500000,0.866025,0.125000,0.330719,1.570319,2.206867,1.321851,21,15,6,0.714286,1172.333333,395.449056,1064,946.866667,441.213156,950,904.950000,527.079641,0.582441,6.461859,0.122736,0.410115,0.201449,1.045961,0.457826,0.548618,2.494357,0.430127,13.835417,74.967298,1801.872176,1222.388192,1.866667,0.956847,0.266667,0.442217,2.188334,2.741267,1.140591,27,3,24,0.111111,2692.666667,1402.569626,1998,1017.333333,676.609357,1101,755.153846,157.735585,0.208879,8.877616,2.497552,0.341108,0.168861,1.465538,0.832990,0.665209,1.827331,0.187292,14.569826,56.587312,1503.029043,307.820980,2.666667,1.247219,0.333333,0.471405,2.248000,6.160817,6.468300,-0.285714,-0.888889,-0.603175,171.708333,1692.041667,1520.333333,165.741667,236.208333,70.466667,539.748891,240.905758,-298.843134,0.534400,3.953950,3.419550
session_1767529492331_s05bbw7hbpp,thi123,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1680,1050,1.250000,1536,735,60,115.700000,8.640000,7.900000,838,0.900000,false,false,18-24,Male,15,1,14,0.066667,2838,,2838,395,,395,1314.357143,409.336677,0.311435,6.472766,,0.497521,,1.052584,,1.309547,5.978842,3.254283,26.912981,113.495274,1688.445885,,0,,0,,2.538870,6.427518,,20,0,20,0,,,,,,,899.315789,25.486947,0.028340,,,,,,,,,,,,,,,,,,,,,27,0,27,0,,,,,,,699.807692,7.765898,0.011097,,,,,,,,,,,,,,,,,,,,,-0.066667,-0.066667,0,,,,,,,,,,,,
session_1767529477709_a77mulgrpc,pah123,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1920,1080,1,1920,911,60,48,20.850000,18,901,1.160000,false,false,18-24,Male,16,16,0,1,802.437500,353.415826,704,540.312500,106.888797,541,1286.400000,396.816297,0.308470,7.680999,0.128075,0.096634,0.050840,4.945711,3.404772,0.197257,0.550164,0.025452,4.763352,14.761890,492.929837,116.818855,2.062500,1.028880,0,0,2.275392,4.319046,0.722602,22,20,2,0.909091,1279.400000,466.940403,1125,825.600000,405.204072,700.500000,951.190476,658.620970,0.692418,7.768977,0.665598,0.244601,0.118235,1.849186,1.399118,0.394256,1.379141,0.128702,7.832516,34.168208,818.814842,288.924528,2.500000,1.565248,0,0,2.248296,3.565622,2.147149,27,7,20,0.259259,1242.714286,213.703208,1241,914,300.628389,1016,756,433.945317,0.574002,8.640146,1.689204,0.216141,0.084878,3.749704,5.070668,0.300252,1.109199,0.090347,6.682917,31.469729,692.424368,230.462732,2.571429,1.989770,0,0,2.531038,3.549012,2.653057,-0.090909,-0.740741,-0.649832,476.962500,440.276786,-36.685714,285.287500,373.687500,88.400000,325.885005,199.494531,-126.390474,-0.753424,-0.770035,-0.016610
session_1767529429577_qo26jnnkq19,u_56,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Edge 143,1536,864,1.250000,1488,698,60,77.900000,12.830000,17,989,1.300000,false,true,25-34,Male,16,6,10,0.375000,1658.666667,138.588921,1625,1434.666667,343.725504,1539.500000,1052.800000,253.683057,0.240960,4.853376,0.400407,0.572465,0.262195,0.976127,0.535918,0.777981,3.879598,1.084593,22.743468,108.803814,2143.837146,514.013583,2.666667,1.795055,0.166667,0.372678,2.260267,1.740239,0.759007,22,3,19,0.136364,2451,1337.402208,1538,1079,734.042687,1073,919.714286,64.279259,0.069890,9.029125,3.533438,0.657253,0.488358,3.379040,4.056975,0.711907,3.238516,0.618294,23.176626,98.597661,1946.477614,636.437236,3,1.632993,0.333333,0.471405,2.330094,5.208908,5.172845,28,4,24,0.142857,1602.500000,1084.823603,1109.500000,653.750000,270.578431,574.500000,745.925926,319.843008,0.428787,6.513671,2.228805,0.306670,0.179560,3.170941,3.433538,0.726104,3.391480,1.017471,26.638025,111.389263,2732.542124,1108.693267,1.500000,0.866025,0.250000,0.433013,2.271125,4.269126,2.064987,-0.238636,-0.232143,0.006494,792.333333,-56.166667,-848.500000,-355.666667,-780.916667,-425.250000,-197.359532,588.704978,786.064511,3.468669,2.528887,-0.939782
session_1767528213708_6e3owv6a9td,dev8689,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,864,1.250000,1536,695,60,44.300000,22.590000,19.200000,1269,1.510000,false,false,25-34,Male,11,2,9,0.181818,2446.500000,470.500000,2446.500000,1891.500000,608.500000,1891.500000,1585.500000,892.360717,0.562826,5.334088,0.047694,0.704071,0.083908,0.632614,0.101477,0.565225,2.651477,0.369281,16.178214,107.148247,2151.534475,106.537577,5,0,0,0,2.260878,1.324156,0.400597,19,18,1,0.947368,2557.111111,460.372782,2608.500000,2455.055556,445.171936,2482,985.888889,456.294117,0.462825,6.085815,0.189732,1.055197,0.177669,0.399027,0.190213,0.684590,6.931849,1.385189,25.084435,226.373178,2966.000028,690.798294,3.277778,1.789027,0.222222,0.415740,2.112316,0.907383,0.347233,24,6,18,0.250000,1937.166667,397.561491,2142.500000,1758.166667,467.243483,1856,773.434783,337.621453,0.436522,4.480349,0.188857,1.125843,0.676785,0.383623,0.264810,0.947099,5.649258,1.801943,36.372341,218.332772,4182.312159,2775.068294,4.166667,1.950783,1.333333,1.247219,1.777270,1.069102,0.440119,0.765550,0.068182,-0.697368,110.611111,-509.333333,-619.944444,563.555556,-133.333333,-696.888889,814.465552,2030.777684,1216.312132,-0.416773,-0.255054,0.161718
session_1767528161932_edlugqolhmk,ssd4731,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,864,1.250000,1536,730,60,48.900000,20.430000,18.200000,814,1.370000,false,false,18-24,Female,12,12,0,1,3375.833333,973.963452,2950.500000,2865.083333,1123.941610,2540.500000,1488.090909,612.127802,0.411351,5.171556,0.182811,0.577303,0.257961,0.719531,0.293131,0.444301,3.685987,0.634726,19.338828,185.807126,3509.481569,891.240062,2.666667,1.105542,0.166667,0.372678,2.084217,0.996814,0.935119,19,11,8,0.578947,2366.090909,489.577453,2450,1634.909091,614.364928,1633,972.722222,637.861689,0.655749,5.237487,0.075608,0.452008,0.227334,0.698845,0.325662,0.504546,3.645349,0.783183,18.104266,149.070573,3169.304139,1414.586201,1.545455,0.987525,0.363636,0.481046,1.733447,1.340882,0.840016,24,3,21,0.125000,1944.666667,184.219676,2016,1000,408.955580,966,700.695652,265.086440,0.378319,5.253120,0.137176,0.224123,0.129346,1.523611,0.432953,0.333874,3.552818,0.497062,14.546111,129.342866,2101.398649,495.208916,1,0.816497,0,0,1.834806,2.175923,0.834429,-0.421053,-0.875000,-0.453947,-1009.742424,-1431.166667,-421.424242,-1230.174242,-1865.083333,-634.909091,-340.177430,-1408.082919,-1067.905490,0.344068,1.179109,0.835041
